,2014年,2015年,2016 年,2017 年
全 国,0.74 ,0.75 ,0.74 ,0.75 
北 京,0.50 ,0.50 ,0.50 ,1.00 
天 津,0.74 ,0.73 ,0.75 ,0.86 
河 北,0.64 ,0.64 ,0.67 ,0.67 
山 西,0.67 ,0.71 ,0.75 ,0.63 
内蒙古,0.67 ,0.67 ,0.64 ,0.70 
辽 宁,0.80 ,0.86 ,0.86 ,0.86 
吉 林,0.79 ,0.83 ,0.84 ,0.83 
黑龙江,0.70 ,0.70 ,0.70 ,0.71 
上 海,0.85 ,0.86 ,0.86 ,0.82 
江 苏,0.84 ,0.85 ,0.84 ,0.85 
浙 江,0.76 ,0.75 ,0.76 ,0.76 
安 徽,0.65 ,0.68 ,0.64 ,0.65 
福 建,0.63 ,0.63 ,0.62 ,0.64 
江 西,0.69 ,0.70 ,0.65 ,0.66 
山 东,0.83 ,0.82 ,0.83 ,0.83 
河南,0.81 ,0.81 ,0.83 ,0.79 
湖 北,0.93 ,0.96 ,0.84 ,0.85 
湖 南,0.70 ,0.70 ,0.69 ,0.72 
广 东,,,,
广 西,0.65 ,0.65 ,0.66 ,0.69 
海 南,,,,
重 庆,0.73 ,0.74 ,0.74 ,0.74 
四 川,0.77 ,0.78 ,0.78 ,0.79 
贵 州,0.59 ,0.62 ,0.64 ,0.64 
云 南,0.59 ,0.59 ,0.60 ,0.62 
西 藏,0.50 ,0.56 ,0.55 ,0.56 
陕 西,0.74 ,0.75 ,0.75 ,0.76 
甘 肃,0.69 ,0.69 ,0.67 ,0.73 
青 海,,,,
宁 夏,0.79 ,0.82 ,0.84 ,0.85 
新 疆,1.01 ,0.98 ,0.86 ,0.88 
