,1992年 ,1993年 ,  1994年 ,  1995年 ,1996年,1997年,  1998年 ,  1999年 ,  2000年 ,  2001年 ,  2002年 ,  2003年 ,  2004年 ,  2005年 ,  2006年,  2007年,  2008年,  2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016 年,2017 年
全国总计,0.58 ,0.59 ,0.58 ,0.60 ,0.62 ,0.63 ,0.64 ,0.63 ,0.63 ,0.62 ,0.62 ,0.61 ,0.63 ,0.63 ,0.63 ,0.64 ,0.66 ,0.66 ,0.66 ,0.67 ,0.68 ,0.67 ,0.68 ,0.69 ,0.69 ,0.69 
北京,0.67 ,0.70 ,0.79 ,0.72 ,0.69 ,0.68 ,0.69 ,0.67 ,0.67 ,0.63 ,0.64 ,0.63 ,0.63 ,0.63 ,0.57 ,0.60 ,0.75 ,0.50 ,0.67 ,1.00 ,0.50 ,0.50 ,0.50 ,0.50 ,0.50 ,1.00 
天津,0.70 ,0.76 ,0.79 ,0.81 ,0.77 ,0.77 ,0.83 ,0.66 ,0.41 ,0.65 ,0.75 ,0.81 ,0.81 ,0.73 ,0.73 ,0.69 ,0.70 ,0.71 ,0.71 ,0.75 ,0.77 ,0.77 ,0.79 ,0.73 ,0.75 ,0.86 
河北,0.64 ,0.68 ,0.75 ,0.70 ,0.65 ,0.66 ,0.65 ,0.60 ,0.46 ,0.50 ,0.50 ,0.54 ,0.57 ,0.59 ,0.58 ,0.68 ,0.68 ,0.68 ,0.68 ,0.73 ,0.58 ,0.68 ,0.64 ,0.64 ,0.67 ,0.67 
山西,0.63 ,0.57 ,0.59 ,0.66 ,0.55 ,0.62 ,0.66 ,0.56 ,0.73 ,0.45 ,0.57 ,0.39 ,0.42 ,0.33 ,0.47 ,0.40 ,0.09 ,0.45 ,0.50 ,0.50 ,0.60 ,0.70 ,0.86 ,0.71 ,0.75 ,0.63 
内蒙古,0.44 ,0.45 ,0.45 ,0.50 ,0.57 ,0.58 ,0.51 ,0.59 ,0.61 ,0.66 ,0.62 ,0.67 ,0.67 ,0.74 ,0.72 ,0.75 ,0.72 ,0.64 ,0.81 ,0.87 ,0.82 ,0.74 ,0.66 ,0.67 ,0.64 ,0.70 
辽宁,0.74 ,0.78 ,0.69 ,0.55 ,0.71 ,0.78 ,0.76 ,0.83 ,0.77 ,0.65 ,0.73 ,0.70 ,0.74 ,0.73 ,0.68 ,0.76 ,0.77 ,0.77 ,0.68 ,0.77 ,0.77 ,0.78 ,0.83 ,0.86 ,0.86 ,0.86 
吉林,0.68 ,0.68 ,0.70 ,0.69 ,0.80 ,0.83 ,0.84 ,0.87 ,0.64 ,0.54 ,0.56 ,0.59 ,0.73 ,0.72 ,0.74 ,0.75 ,0.88 ,0.76 ,0.84 ,0.90 ,0.76 ,0.78 ,0.77 ,0.83 ,0.84 ,0.83 
黑龙江,0.48 ,0.53 ,0.55 ,0.56 ,0.57 ,0.62 ,0.59 ,0.58 ,0.65 ,0.65 ,0.59 ,0.65 ,0.71 ,0.68 ,0.68 ,0.63 ,0.63 ,0.64 ,0.67 ,0.70 ,0.71 ,0.70 ,0.72 ,0.70 ,0.70 ,0.71 
上海,0.71 ,0.71 ,0.76 ,0.76 ,0.78 ,0.80 ,0.80 ,0.77 ,0.78 ,0.83 ,0.82 ,0.77 ,0.80 ,0.76 ,0.81 ,0.79 ,0.82 ,0.83 ,0.83 ,0.84 ,0.85 ,0.85 ,0.86 ,0.86 ,0.86 ,0.82 
