,1992年 ,1993年 ,  1994年 ,  1995年 ,1996年,1997年,  1998年 ,  1999年 ,  2000年 ,  2001年 ,  2002年 ,  2003年 ,  2004年 ,  2005年 ,  2006年,  2007年,  2008年,  2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016 年,2017 年
全国总计,0.43 ,0.46 ,0.45 ,0.47 ,0.49 ,0.48 ,0.50 ,0.49 ,0.48 ,0.48 ,0.49 ,0.49 ,0.52 ,0.52 ,0.53 ,0.53 ,0.55 ,0.54 ,0.55 ,0.57 ,0.58 ,0.59 ,0.59 ,0.60 ,0.60 ,0.61 
北京,0.60 ,0.64 ,0.66 ,0.61 ,0.57 ,0.57 ,0.58 ,0.50 ,0.49 ,0.52 ,0.52 ,0.45 ,0.48 ,0.51 ,0.51 ,0.53 ,0.57 ,0.57 ,0.53 ,0.59 ,0.60 ,0.62 ,0.55 ,0.62 ,0.63 ,0.63 
天津,0.49 ,0.50 ,0.50 ,0.51 ,0.49 ,0.51 ,0.51 ,0.44 ,0.39 ,0.48 ,0.48 ,0.50 ,0.51 ,0.52 ,0.52 ,0.52 ,0.52 ,0.53 ,0.53 ,0.54 ,0.52 ,0.53 ,0.52 ,0.52 ,0.56 ,0.61 
河北,0.35 ,0.37 ,0.40 ,0.43 ,0.42 ,0.42 ,0.43 ,0.41 ,0.40 ,0.40 ,0.40 ,0.43 ,0.44 ,0.44 ,0.46 ,0.48 ,0.49 ,0.49 ,0.49 ,0.52 ,0.53 ,0.55 ,0.55 ,0.54 ,0.56 ,0.58 
山西,0.30 ,0.34 ,0.31 ,0.34 ,0.38 ,0.33 ,0.37 ,0.29 ,0.30 ,0.28 ,0.35 ,0.38 ,0.42 ,0.38 ,0.41 ,0.38 ,0.37 ,0.34 ,0.38 ,0.41 ,0.44 ,0.45 ,0.45 ,0.43 ,0.47 ,0.46 
内蒙古,0.29 ,0.32 ,0.31 ,0.30 ,0.41 ,0.35 ,0.39 ,0.04 ,0.36 ,0.39 ,0.40 ,0.45 ,0.46 ,0.49 ,0.48 ,0.46 ,0.51 ,0.46 ,0.49 ,0.53 ,0.54 ,0.57 ,0.56 ,0.57 ,0.56 ,0.57 
辽宁,0.57 ,0.62 ,0.49 ,0.51 ,0.58 ,0.47 ,0.65 ,0.58 ,0.44 ,0.49 ,0.59 ,0.60 ,0.67 ,0.63 ,0.60 ,0.61 ,0.64 ,0.53 ,0.57 ,0.66 ,0.66 ,0.70 ,0.55 ,0.62 ,0.67 ,0.69 
吉林,0.58 ,0.62 ,0.65 ,0.61 ,0.69 ,0.54 ,0.76 ,0.71 ,0.48 ,0.51 ,0.59 ,0.61 ,0.64 ,0.66 ,0.68 ,0.65 ,0.74 ,0.63 ,0.69 ,0.76 ,0.77 ,0.79 ,0.74 ,0.75 ,0.78 ,0.78 
黑龙江,0.39 ,0.43 ,0.45 ,0.43 ,0.47 ,0.46 ,0.47 ,0.46 ,0.46 ,0.45 ,0.49 ,0.46 ,0.52 ,0.54 ,0.53 ,0.46 ,0.55 ,0.53 ,0.57 ,0.62 ,0.60 ,0.62 ,0.64 ,0.64 ,0.64 ,0.66 
上海,0.58 ,0.59 ,0.60 ,0.62 ,0.65 ,0.64 ,0.61 ,0.63 ,0.68 ,0.73 ,0.70 ,0.69 ,0.71 ,0.65 ,0.69 ,0.67 ,0.69 ,0.65 ,0.67 ,0.67 ,0.66 ,0.69 ,0.70 ,0.70 ,0.72 ,0.76 
