,2014年,2015年,2016 年,2017 年
全 国,13453.6,13681.1,14638.9,14957.3
北 京,0.1,0.1,0.1,0.1
天 津,12.1,11.3,20,26.3
河 北,54.2,54.5,51.2,50.4
山 西,0.6,0.5,0.6,0.5
内蒙古,52.4,53.2,69.8,85.2
辽 宁,451.5,467.7,410.4,422
吉 林,587.6,630.1,670.5,684.4
黑龙江,2251,2199.7,2763.6,2819.3
上 海,84.1,84.1,91.4,85.6
江 苏,1912,1952.5,1898.9,1892.6
浙 江,444,435.9,330.7,333.6
安 徽,1137.3,1234.9,1333.9,1414.6
福 建,194.1,190.4,154.3,163.3
江 西,272.5,279.1,551.9,564.4
山 东,101,95.1,88.8,90.1
河南,528.6,531.5,508.3,485.2
湖 北,1167.9,1228.9,1609.2,1688.7
湖 南,816.5,822.7,871.4,932.6
广 东,,,,
广 西,97.5,95.9,90.5,96.8
海 南,,,,
重 庆,503.2,506.4,487.6,487
四 川,1526.1,1552.6,1467.3,1473.7
贵 州,403.2,417.5,456,448.8
云 南,623.1,615.3,489.1,493.4
西 藏,0.5,0.5,0.6,0.5
陕 西,90.9,91.9,80.5,80.6
甘 肃,3.5,3.1,2.8,2.9
青 海,,,,
宁 夏,61.8,60.8,67.9,68.8
新 疆,76.2,65.1,71.7,65.5
