,1992年 ,1993年 ,  1994年 ,  1995年 ,1996年,1997年,  1998年 ,  1999年 ,  2000年 ,  2001年 ,  2002年 ,  2003年 ,  2004年 ,  2005年 ,  2006年,  2007年,  2008年,  2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016 年,2017 年
全国总计,40169.6,40517.4,39389.1,41611.6,45127.1,44349.3,45624.7,45304.1,40522.4,39648.2,39798.7,37428.7,41157.2,42776,45099.2,45632.4,47847.4,48156.3,49637.1,51939.4,53934.7,55269.2,55740.7,57228.1,61666.5,61520.5
北京,276.6,278.3,267,252.7,231.8,232.3,233.9,196.1,136.1,96.3,74.6,52,64.8,90.4,103.9,97.6,121.5,121.5,113.2,119.3,111.6,94.4,62.6,61.1,51.7,39.9
天津,187.5,184.2,176.3,195.6,199.2,200.5,203.5,171.3,119.1,134,131.2,112,117.5,133.1,140,145.7,147.3,154.1,157.4,159.5,159.8,173.5,174.3,179.8,198.6,209.9
河北,2009.4,2136.4,2263.3,2507,2557.1,2554.1,2680.3,2552.1,2355.6,2309,2256.3,2205.9,2319.4,2452.9,2640.2,2716,2758.5,2801.8,2844.3,3032.3,3102.7,3221.8,3224.9,3230.4,3645.6,3674.5
山西,755.1,850.4,759.3,816.2,934.2,797.2,931,723.7,703,602.1,776.3,807.1,935.7,882.1,953.4,916.5,948.3,895.8,1035.2,1138.4,1214.7,1246,1260.3,1192.3,1310.5,1280.1
内蒙古,937.4,930.9,910.4,914.1,1301.7,1188,1319.9,1210.6,947.9,1016.5,1097.7,1092.3,1180.4,1342.1,1459.3,1500.6,1780,1677.2,1821.2,2012.2,2180.9,2433.6,2493.1,2577,2960.1,2930.8
辽宁,1509.2,1609.5,1251.3,1343,1575.8,1237,1730.4,1556.6,1029.1,1283.3,1392.5,1360.1,1619.9,1660.3,1708.7,1748.1,1760,1517.2,1677.1,1933.5,1986.5,2122.7,1674.8,1927.3,2260,2261.3
吉林,1726,1746.4,1857.3,1867.9,2211.9,1707.2,2368.6,2184.2,1448.3,1775.6,1988.1,2015.6,2285.4,2352.5,2585.8,2337.1,2705,2348,2654.1,3015.3,3221.7,3443.8,3420.8,3538.9,4054.2,4044
黑龙江,1933.1,1813.4,1971.3,2033.8,2519.4,2434.9,2483.4,2524.8,1974.1,1989.1,2195.5,1792,2202.5,2324.7,3050.2,2971.5,3501.5,3641.7,4284.8,4858.2,5147.9,5495.9,5665.5,5786.3,6754.8,6609.7
上海,225,207.2,203.5,206.3,222.4,227.4,210.4,205.6,170.5,148,126.5,96,102.8,101.3,107.2,106.8,113.8,119.5,116.3,119.6,120.1,112.3,110.5,110.6,111,99.3
江苏,3137.1,3018.5,2863.6,3108,3301.1,3371.5,3218,3367.4,2907.1,2745.1,2702.7,2302.2,2666,2696.9,2967.8,3008.5,3047.2,3100.3,3110.4,3186.4,3252,3313,3386.3,3454.9,3466.6,3536.2
浙江,1468.4,1349.6,1317.6,1330.2,1406,1379.3,1317.6,1262.4,1093.9,952.1,842.3,700.6,739.3,705.3,720.1,678.5,706,716.1,699,704.6,678,647.9,664.2,655.6,498.9,513.4
安徽,2041.4,2230.8,2054.9,2273.3,23723,2490.1,2274.7,2425,2174.5,2247.5,2432.3,1946.2,2467.3,2385.8,2659.8,2731.7,2846.7,2895.9,2911.2,2974,3123.3,3127.3,3260.2,3371.3,3852.4,3907.7
福建,766,730.1,734.2,758.7,777.8,774.6,762.7,745.3,661.2,631.6,580.2,540.5,562.6,544,513.1,515.6,525.4,532.7,525.8,533.2,524.2,523.6,519.7,509.4,399.3,406.3
江西,1493.8,1429.4,1510.4,1508.2,1664.1,1658.7,1446.6,1638.8,1510.6,1505.3,1462.9,1371.1,1588.3,1677.6,1817.9,1815.7,1872.3,1916.1,1869.7,1964.3,1992.8,2019.9,2041.5,2044.3,2160.1,2145.9
山东,3168.4,3388.9,3431,3761.5,3836,3501.9,3777.4,3838.3,3467.3,3323.1,2994.4,3075.4,3194.6,3650.1,3875.9,3929.8,4039.6,4088.1,4105.3,4194.9,4285.8,4297.1,4361.5,4500.1,5202.9,5259.2
