,2014年,2015年,2016年 ,2017 年
全 国,18164.2,18191.9,19779.9,20028.1
北 京,0.2,0.2,0.2,0.1
天 津,16.4,15.4,26.5,30.5
河 北,84.8,84.8,76.3,75
山 西,0.9,0.7,0.8,0.8
内蒙古,78.1,78.9,108.8,122.2
辽 宁,562.1,544.9,476.4,492.7
吉 林,747.1,761.7,800.2,820.8
黑龙江,3205.5,3147.8,3925.3,3948.9
上 海,98.4,97.8,106.3,104.1
江 苏,2271.7,2291.6,2256.3,2237.7
浙 江,587.7,584.2,433.9,439.6
安 徽,1753.5,1828.1,2096.3,2190.1
福 建,306.6,304.6,247.4,256.7
江 西,394.5,399.9,845.2,858.6
山 东,122.4,116.3,106.7,108.9
河南,649.7,656,614.1,615
湖 北,1258.6,1283,1920.5,1991.7
湖 南,1173.7,1178.5,1263,1291.3
广 东,,,,
广 西,148.9,147.8,136.8,141
海 南,,,,
重 庆,689.7,688.3,660.9,658.9
四 川,1991,1990.8,1874,1874.9
贵 州,682,675.1,714.2,700.5
云 南,1058.2,1046.8,813.1,802.2
西 藏,1,0.9,1.1,0.9
陕 西,123.4,122.8,107.4,105.6
甘 肃,5.1,4.5,4.2,4
青 海,,,,
宁 夏,78.1,74.3,80.9,81.1
新 疆,75.1,66.2,83.1,74.2
