,  1992年 ,  1993年 ,  1994年 ,  1995年 ,1996年,1997年,  1998年 ,  1999年 ,  2000年 ,  2001年 ,  2002年 ,  2003年 ,  2004年 ,  2005年 ,  2006年,  2007年,  2008年,  2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年 年,2017 年
全国总计,32090.2,30355.2,30171.4,30744.1,31405.6,31764.9,31213.8,31283.5,29961.7,28812.4,28201.6,26507.8,28378.8,28847.2,28937.9,28918.8,29241.1,29626.9,29873.4,30057,30137.1,30311.7,30309.9,30215.7,30745.9,30747.2
北京,31.6,26.5,23,23.3,23.1,23.2,19.4,19.2,14.1,6.8,4.5,1.6,0.8,0.8,0.7,0.5,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1
天津,56.1,41.6,40.1,48.1,61.7,66.4,54.4,61.1,35.4,11.4,14.9,7,13.7,16.7,14.1,14.4,15,16,15.8,14.2,14.6,16.8,16.4,15.4,26.5,30.5
河北,149.3,126.7,117.8,128.7,141.8,155.3,153.2,154.7,143.9,94.1,111,75.6,83.5,87.7,88.7,84.5,81.5,85.1,79.7,83,85.9,86.8,84.8,84.8,76.3,75
山西,8.6,7.5,6.6,6.4,5.8,6.1,6.1,5.9,4.5,5.1,3.5,3.1,2.6,2.7,1.5,1.5,1.1,1.1,1,1,1,1,0.9,0.7,0.8,0.8
内蒙古,94.3,73.4,68.1,78.6,89.7,122.1,117.8,116.9,118.4,86.2,89.8,67,80.9,84.5,72,79.9,97.9,101.8,92.2,90,89.3,75.9,78.1,78.9,108.8,122.2
辽宁,556.6,484.2,458.7,472.6,478.1,491.7,496,501.5,489.7,515.5,556.4,500.6,544.2,568.4,624.9,660.6,658.7,656.7,677.5,659.6,661.8,649.2,562.1,544.9,476.4,492.7
吉林,442.4,427.7,417.5,429.6,434.1,453.1,459,465.2,584.8,686.9,666.1,541,600.1,654,656.3,669.9,658.7,660.4,673.5,691.2,701.2,726.7,747.1,761.7,800.2,820.8
黑龙江,778.4,735.5,747.1,835.1,1107.5,1396.9,1566.7,1614.9,1605.9,1567,1564.4,1290.9,1587.8,1650.3,1992.2,2253.2,2390.7,2460.8,2768.8,2945.6,3069.8,3175.6,3205.5,3147.8,3925.3,3948.9
上海,234.8,215.8,209.9,210,210.5,208.4,203.3,200.8,176.1,153.9,133.1,106.2,111.8,112.7,110.6,109.1,108.6,108.5,108.5,106.1,105.1,101.9,98.4,97.8,106.3,104.1
江苏,2447.3,2278.5,2162.5,2250.3,2335.9,2377.6,2369.7,2398.5,2203.5,2010.3,1982.1,1840.9,2112.9,2209.3,2216,2228.1,2232.6,2233.2,2234.2,2248.6,2254.2,2265.7,2271.7,2291.6,2256.3,2237.7
浙江,2317.9,2135.8,2075.9,2137.8,2138.2,2085.9,2007.9,1940.4,1598,1340,1172.3,979.4,1028.1,1028.5,994.5,954.3,937.5,938.7,923.2,894.8,832.6,828.7,824.2,822.5,613.1,620.7
安徽,2244.3,2169.8,2108.3,2156.1,2238.5,2212.1,2158.3,2145.5,2236.7,1950.1,2044.1,1972.4,2129.7,2149.1,2207.7,2205.2,2218.9,2246.9,2245.4,2230.8,2215.1,2214.1,2217.3,2234.9,2537.4,2605.1
福建,1477,1383.1,1402.6,1406.3,1405.2,1401.6,1387.9,1373.2,1222.3,1156.5,1082.9,962.6,985.1,951.6,890.6,868.7,861.2,864.6,854.8,845.3,827.6,817.5,804.5,789,630.9,628.6
江西,2981.5,2865.1,2938.7,3014.9,3052.6,3063.5,2900.8,3050,2832,2808.3,2786.6,2685.3,3029.7,3129,3239.3,3194.3,3255.5,3282.1,3318.4,3317.7,3328.3,3338,3339.5,3342.4,3527.1,3504.7
山东,118.4,108.8,113.9,121.1,151.6,164.7,157.6,195.8,176.8,173.6,155.3,112.6,124.4,119.8,127.3,130.5,130.7,134.6,128.2,124.5,123.9,123.1,122.4,116.3,106.7,108.9
河南,507.8,444,446.9,450.5,479.9,489.5,498.4,508.5,459.6,415.9,469.4,503,508.5,511.1,571.3,600,604.7,611.3,628,638,648.2,641.3,649.7,656,614.1,615
湖北,2537.5,2377.8,2372.2,2408.6,2448.6,2466,2239.3,2285,1995.3,1987.9,1932,1805.1,1989.6,2077.4,1975.1,1978.8,1978.9,2045.1,2038.2,2036.2,2017.9,2101.2,2144,2188.5,2358.7,2368.1
湖南,4188,4025.9,4040.7,4084,4064.1,4075.8,3976.4,3984.5,3896.1,3691.6,3541.5,3410,3716.8,3795.2,3931.7,3897.2,3932,4047.2,4030.5,4066.3,4095.1,4085,4120.7,4114.1,4277.6,4238.7
广东,2875.9,2629.9,2670.8,2699.8,2713.4,2704.1,2686,2557.5,2467.4,2369.3,2195.5,2130.6,2139,2137.6,1941.9,1939,1946.9,1959.7,1952.7,1940.9,1949.4,1908.8,1893.3,1887.3,1806,1805.4
广西,2465.4,2418.5,2417.3,2420.7,2430.8,2434.3,2433.5,2388.7,2301.6,2423.6,2412.6,2356.3,2356,2360.4,2238.1,2126.7,2119.2,2125,2094.4,2078.5,2057.6,2046.6,2026.2,1983.9,1836.7,1801.7
海南,413.8,390.4,391.5,393.6,390.5,391.4,388.5,391.1,367.5,354.6,344.5,343.1,334.7,300.4,296.4,298.3,310,317.7,324.3,318.6,324.4,311.9,312.2,299.3,253.3,246.7
重庆,,,,,,803.9,794.7,788.6,776.6,764,755.2,750.5,749.3,748,672.3,652.1,673.5,682,683.9,686.5,687,688.7,689.7,688.3,660.9,658.9
四川,3118.6,3043.3,2980.8,3003.3,3020.1,2196.1,2167.4,2176,2123.8,2093.1,2076.1,2040.3,2063.8,2087.5,2081.9,2036.2,2035.9,2027.1,2004.5,2007.9,1997.8,1990.7,1991.8,1990.8,1874,1874.9
贵州,745.1,714.8,735.1,741,741.3,742.9,746.8,748,750.5,750,734.6,720.5,716.5,721.7,679.6,676.2,691.1,698.2,695.8,681.5,683,684.5,682,675.1,714.2,700.5
云南,993.4,931,940.3,941,939.2,921.2,919.6,903,1073.6,1100.3,1083,1043.1,1086.2,1049.3,1029.7,990.2,1017.5,1039.8,1021,1073.5,1082.9,1152.7,1144.7,1134.8,881.4,870.6
西藏,1.1,1.1,0.9,1,,1.1,1.1,1,1,1.1,1.7,1,1.1,1,1,1,1,1,1,1,1,1,1,0.9,1.1,0.9
陕西,160.7,161.9,158.1,139.3,156.9,153.9,160,154.6,144.8,140.8,130.5,139.5,145.8,147.1,120.9,115.3,124.6,125.3,121.6,120.9,123.3,123.7,123.4,122.8,107.4,105.6
甘肃,5.7,6.4,5.9,6.8,6.7,6.8,8.4,7,7.2,7.1,6.3,4.8,4.9,5.1,5.3,5.3,5.5,5.7,5.8,,5.6,5.3,5.1,4.5,4.2,4
青海,,,,,,,,,,,,,,,,,,,,,,,,,,
宁夏,62.5,62.8,56.9,62.1,64,67.2,66.5,71,76.7,74.2,76.4,46.7,64.4,71.3,88.3,77,80.3,78.2,83.2,83.9,84.3,82.1,78.1,74.3,80.9,81.1
新疆,76.2,67.5,63.3,73.38,75.9,82.1,69.1,75.6,78.1,73.3,75,67.2,66.8,69.3,68,71,70.8,72.5,66.9,70.6,69.2,67.3,75.1,66.2,83.1,74.2
