,  1992年 ,  1993年 ,  1994年 ,  1995年 ,1996年,1997年,  1998年 ,  1999年 ,  2000年 ,  2001年 ,  2002年 ,  2003年 ,  2004年 ,  2005年 ,  2006年,  2007年,  2008年,  2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年 ,2017年 
全国总计,92520,88911.9,87537.4,89309.6,92207.5,91963.5,92116.9,91616.7,85264.2,82595.6,81466.3,76810.1,79350.4,81873.9,84931.1,85776.7,86247.8,88401.1,89850.6,91015.8,92612.4,93768.6,94603.5,95635.9,102701.7,100764.6
北京,462.1,437.5,402.9,411.4,408.8,406.7,404.3,390.9,277.6,185.4,144.4,116.7,135.6,176.6,202.2,183.1,212.7,214.1,213.6,200.8,186.2,152.6,114,98.9,82.1,62.9
天津,381.8,368.6,352.7,381.8,402.7,394.5,395.4,390.9,303,278.1,272.5,224,232.3,258.4,270.1,281.7,282.9,292.7,296.3,296.8,309.6,324.6,336.8,342.8,356.1,344.7
河北,5664.1,5788.9,5595.8,5767.2,6068.6,6068.4,6243.8,6230.7,5879.2,5736.1,5625.8,5183.5,5322.9,5611.3,5752.2,5662.4,5648.9,5753,5831.8,5836.2,5863.4,5883.8,5912.2,5965.2,6490.6,6356.7
山西,2537.6,2501.8,2416.8,2425.1,2490.9,2409.8,2484.7,2458.4,2326.7,2145.9,2220.5,2114,2216.3,2333.4,2306.8,2443.4,2556.6,2617.1,2714.8,2774.3,2776.9,2763.5,2772.9,2779.2,2807.5,2757.9
内蒙古,3187.8,2935.7,2920.7,3009.2,3212.9,3390.3,3404.6,33094,2648.2,2637.6,2717.5,2433.6,2583.4,2734.4,3048.8,3296.8,3517.8,3632.3,3707.7,3819.3,4068,4250,4455.5,4523.9,5266.4,5177.4
辽宁,2643.5,2599,2573.8,2627.9,2698,2657.2,2656.2,2667.8,2365.3,2623.8,2372.3,2250.9,2434.7,2629.5,2836.4,2879.4,2739.2,2848.6,2948.3,2943.3,2995.4,3013.3,3032.4,3100.2,3356.8,3291.8
吉林,2985,2832,2870.1,3051.3,3198.4,3133,3104.5,3074.6,3043.8,3464.4,3385.5,3318.5,3594.1,3554.4,3820.9,3618.2,3679.5,3747.3,3865,3976.9,4161.6,4372.9,4595,4722.1,5193.3,5152.9
黑龙江,4912.7,4251.1,4333.9,4675.9,5330.9,5297.7,5275,5491,4279.5,4408.7,4466,3867.1,4198,4317.7,5772.6,6505.8,6419.7,6864.3,7459.9,7865.9,8510.1,8795.9,8833.4,9074.5,10635.4,10006.4
上海,384.9,351.4,336.4,331.8,343.7,356.2,343.8,325.3,249.5,202.2,179.6,139.3,145,155.7,154.7,159,165.5,183.7,172.5,179,180.7,163,158.5,157.1,154.8,131.2
江苏,5700.3,5413.7,5145.8,5237.4,5378.5,5472.1,5434.7,5322.1,4754.6,4355.5,4354,4135.5,4310.8,4464.1,4711.7,4826.5,4857.7,4867.7,4887,4926.6,4955.9,4987.7,5014.7,5066.5,5305.3,5251.8
浙江,2900.7,2569.1,2453.8,2510.4,2548.6,2529.6,2436.9,2368.4,1907.6,1565.4,1364.1,1136.2,1170.9,1191.4,1094,1059.1,1050.1,1062.2,1052.5,1033,1004.3,1004,1008.1,1010.3,758,784.9
安徽,4811.8,4851.1,4670.5,4806.4,5039,4953.2,4920.7,4874.2,4942,4654.5,4891.5,4708,4977.5,5051.3,5213.6,5296.3,5323.9,5386.2,5424.4,5485,5498.3,5534.4,5543.3,5599,6651.2,6597.8
福建,1666.3,1532.2,1544.7,1539.3,1535.1,1528.6,1510.8,1487.8,1320.5,1241.1,1158.7,1016.9,1036.3,1003.5,933,911.9,906.9,911,903.1,895,880.2,872.4,861,849.3,662,660.2
江西,3098.5,2974.7,3041.7,3131.2,3179.9,3183.8,3016.2,3150.5,2920.8,2876.4,2839.2,2729,3067.8,3166,3269.4,3224.9,3286.9,3311.5,3350,3359.6,3378.6,3387.6,3389.6,3393.2,3583.4,3561.1
山东,6807.8,6931.9,6802.8,6999.3,7169.7,6976.2,7057.6,7087.3,6436.5,6307.5,6155.9,5691.8,5600.5,6178.1,6555.6,6528.3,6554.8,6620.7,6670.7,6739,6793.7,6881.7,7014.4,7112.7,8265.3,8228
河南,7468.9,7494,7361.5,7433.3,7694.7,7537.3,7783.4,7745.6,7743.7,7589.8,7796.2,7840.8,7906.6,8093.9,8604.5,8662.5,8741.1,8839,8920.9,9055.4,9152.8,9276.1,9408.5,9499.1,10608.1,10412.6
