ID,Name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
110000000,北京市,267.44,245.61,284.4,239.84,229.01,222.22,223.9,183.82,204.8,231.11,217.4,163.9,209.8,195.12,200.5,156.3,194.52,169.83,157.28,187.9,176.16,182.85,136.23,176.43,180.05,202.28,196.54
120000000,天津市,151.7,171.54,186.5,173.54,143.8,106,113.92,76.72,105.4,175.24,154.5,193.2,152.8,138,121.23,120.71,126.3,131.84,132.32,134.84,121.73,123.51,132.14,199.24,232.22,224.67,217.59
130000000,河北,103.32,130.63,147.9,143.95,141,111.49,146.7,117.3,125.73,138.63,134,157.9,160.01,153.82,173.7,172.32,183.9,159.25,172.4,199.23,188.94,185.48,214.07,191.71,222.31,231.13,242.56
140000000,山西,89.3,119.2,103.5,88.4,123.31,96.4,130.8,99.2,119.4,88.83,116.6,137.21,139.9,105.9,112.4,114,99.9,64,71.8,77.3,85.4,95.2,97.2,96.3,114,118.8,142
150000000,内蒙古,104,144.11,138.03,86.1,137.72,112.81,114.3,101.2,96.5,96.6,133.8,86.8,126.31,152.3,131.45,130.1,150.1,127.34,150.9,167.6,193.93,183.11,150.76,149.4,155.1,158.96,157.3
210000000,辽宁,104.4,149.91,156.43,147.1,163.71,135.62,190.93,161.3,153.9,156.8,179.1,206.5,166.72,148.1,267.8,238.6,259.2,174.84,245.03,258.02,244.38,233.46,219.23,237.62,204.67,246.84,241.49
220000000,吉林,174.22,197.63,216.2,205.8,219.6,200,237.1,219.12,211,207.54,317.4,314.5,263.6,241.5,372.1,149.4,172.3,146.3,210.1,210.14,142.09,174.21,167.37,165.46,191.04,203.9,182.67
230000000,黑龙江,161.6,160.01,181.17,168.71,193.84,239.9,180.15,206.9,154.04,145.2,180.62,161.6,177.2,168.7,151.6,108,154.24,145.48,160.48,170.6,173.52,160.02,179.11,176.62,171.85,180.71,181.33
310000000,上海,285.71,240.17,237.7,317.8,275,259.3,254.04,226.24,325.3,341.9,473.47,263.6,303.6,339.8,323.3,225.1,202.5,222.88,211.47,246.77,255.89,252.77,236.5,212.46,229.33,197.11,269.98
320000000,江苏,233.7,206.51,225.81,251.3,249.5,261.13,268,271.8,269.1,271.3,275.17,244.62,268.21,238.71,258.05,254.02,252.3,258.13,255.11,248.57,253.21,229.59,229.86,241,236.4,235.44,252.75
