name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,,,
北京市,,,,,,,,,,,,,,,,,,,44.00 ,15.00 ,15.00 ,79.00 ,,,,94.15 ,160.00 ,,,
天津市,,,,,,,,,,,,,,,,,,,,,,,,181.40 ,229.94 ,176.20 ,161.15 ,,,
河北,58.90 ,46.20 ,92.60 ,92.70 ,105.40 ,101.90 ,120.93 ,98.50 ,82.80 ,115.70 ,116.30 ,136.20 ,136.42 ,131.90 ,135.00 ,129.34 ,146.95 ,133.50 ,131.20 ,143.62 ,156.44 ,161.34 ,161.07 ,168.31 ,165.20 ,170.02 ,175.21 ,,,
山西,95.33 ,215.82 ,101.10 ,138.20 ,91.80 ,161.93 ,133.31 ,92.30 ,100.44 ,81.24 ,93.40 ,123.80 ,99.50 ,75.90 ,91.74 ,80.40 ,144.80 ,106.20 ,104.80 ,99.12 ,157.49 ,143.12 ,155.10 ,156.31 ,118.82 ,94.47 ,93.79 ,,,
内蒙古,61.10 ,71.90 ,76.70 ,70.40 ,88.70 ,76.42 ,90.11 ,105.41 ,103.30 ,65.31 ,125.54 ,90.34 ,112.53 ,110.90 ,121.02 ,101.00 ,91.60 ,102.23 ,100.30 ,109.87 ,113.27 ,116.21 ,126.38 ,132.30 ,137.82 ,114.98 ,161.51 ,,,
辽宁,119.10 ,136.00 ,121.82 ,146.00 ,120.71 ,174.00 ,126.00 ,200.70 ,166.30 ,180.50 ,159.90 ,158.60 ,47.20 ,147.10 ,200.00 ,366.67 ,197.70 ,199.50 ,195.00 ,207.10 ,195.21 ,191.08 ,171.22 ,172.34 ,183.92 ,167.71 ,170.39 ,,,
吉林,,,,,,,,,,,,,,,,,,,,,,,,,,93.69 ,,,,
黑龙江,101.10 ,65.51 ,71.70 ,116.40 ,103.40 ,134.30 ,94.30 ,106.40 ,85.00 ,111.30 ,119.70 ,119.10 ,161.50 ,170.32 ,187.50 ,186.33 ,261.00 ,172.10 ,225.12 ,257.45 ,257.56 ,619.77 ,3150.00 ,,260.19 ,260.47 ,135.53 ,,,
上海,231.40 ,178.50 ,139.43 ,197.70 ,228.30 ,195.20 ,114.33 ,217.40 ,224.20 ,197.44 ,179.22 ,156.50 ,230.20 ,211.50 ,217.30 ,218.70 ,230.31 ,216.10 ,219.52 ,215.03 ,207.69 ,214.18 ,218.21 ,227.67 ,201.65 ,217.72 ,256.32 ,,,
江苏,198.20 ,189.92 ,169.91 ,206.42 ,213.53 ,212.14 ,137.03 ,227.22 ,219.82 ,214.10 ,195.80 ,213.40 ,242.60 ,240.22 ,245.50 ,252.00 ,248.20 ,255.51 ,244.40 ,238.50 ,259.02 ,273.67 ,276.46 ,283.07 ,278.54 ,283.97 ,287.28 ,,,
浙江,164.70 ,162.30 ,144.00 ,159.90 ,174.80 ,175.40 ,120.50 ,184.40 ,180.80 ,186.90 ,156.50 ,168.20 ,201.60 ,196.70 ,195.80 ,211.10 ,211.00 ,199.30 ,180.30 ,195.80 ,193.80 ,198.40 ,204.90 ,205.30 ,195.00 ,210.08 ,222.52 ,,,
安徽,126.64 ,141.84 ,127.10 ,142.90 ,139.81 ,166.43 ,94.50 ,163.50 ,162.50 ,186.70 ,152.00 ,150.72 ,189.80 ,191.20 ,198.41 ,209.60 ,209.22 ,218.60 ,193.50 ,191.72 ,220.34 ,228.91 ,231.87 ,237.20 ,233.30 ,234.81 ,236.11 ,,,
福建,76.20 ,84.11 ,84.61 ,95.20 ,95.40 ,101.92 ,101.12 ,110.80 ,105.80 ,110.10 ,115.20 ,117.54 ,130.12 ,130.82 ,129.20 ,130.10 ,128.60 ,133.81 ,129.30 ,136.90 ,141.16 ,145.63 ,146.74 ,147.89 ,150.64 ,154.13 ,162.12 ,,,
江西,66.12 ,74.10 ,74.00 ,79.90 ,74.40 ,85.10 ,64.12 ,79.80 ,84.24 ,84.60 ,79.42 ,85.21 ,100.11 ,101.74 ,102.30 ,103.70 ,107.10 ,113.21 ,116.72 ,122.84 ,124.59 ,128.52 ,132.05 ,135.70 ,134.95 ,138.30 ,143.00 ,,,
山东,123.91 ,177.80 ,187.10 ,223.20 ,197.30 ,225.50 ,200.80 ,182.70 ,196.20 ,211.20 ,222.90 ,230.20 ,233.63 ,240.10 ,249.00 ,284.90 ,282.10 ,283.40 ,279.21 ,252.54 ,260.84 ,254.47 ,254.06 ,259.56 ,267.58 ,263.84 ,253.11 ,,,
