name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,
北京市,628.64 ,694.80 ,720.00 ,639.80 ,576.03 ,576.40 ,590.40 ,437.70 ,432.30 ,538.50 ,528.90 ,428.14 ,465.20 ,522.81 ,536.80 ,550.71 ,601.80 ,595.40 ,562.10 ,642.96 ,633.09 ,656.70 ,564.65 ,648.17 ,662.06 ,667.68 ,677.02 ,
天津市,503.64 ,517.00 ,501.13 ,507.60 ,463.10 ,430.03 ,463.30 ,333.93 ,312.12 ,533.50 ,485.20 ,518.90 ,506.20 ,526.94 ,528.32 ,524.60 ,527.54 ,534.90 ,549.00 ,558.43 ,515.53 ,532.90 ,500.00 ,499.84 ,540.65 ,592.25 ,591.92 ,
河北,419.90 ,453.38 ,506.39 ,516.59 ,462.77 ,416.13 ,459.98 ,408.45 ,401.24 ,416.55 ,401.55 ,431.36 ,440.04 ,445.89 ,481.74 ,509.17 ,531.16 ,512.72 ,521.40 ,558.40 ,558.56 ,560.82 ,536.08 ,519.30 ,549.55 ,574.34 ,564.66 ,
山西,467.20 ,514.11 ,454.90 ,525.30 ,546.83 ,425.54 ,537.00 ,406.70 ,447.00 ,369.92 ,488.60 ,521.00 ,561.34 ,520.50 ,528.40 ,504.00 ,495.30 ,450.80 ,495.00 ,519.00 ,541.50 ,571.50 ,559.50 ,514.50 ,547.10 ,541.20 ,561.70 ,
内蒙古,562.10 ,595.49 ,576.80 ,522.50 ,673.33 ,529.90 ,571.00 ,490.90 ,484.70 ,498.40 ,525.90 ,558.50 ,565.80 ,590.43 ,589.60 ,577.20 ,602.90 ,547.20 ,589.70 ,611.40 ,629.71 ,652.78 ,648.27 ,660.59 ,666.85 ,672.02 ,721.50 ,
辽宁,616.40 ,677.70 ,445.10 ,543.50 ,614.90 ,424.70 ,684.30 ,587.30 ,387.40 ,522.50 ,599.30 ,44.30 ,675.30 ,633.50 ,610.91 ,584.31 ,630.80 ,490.40 ,549.70 ,637.30 ,645.09 ,696.12 ,502.35 ,580.73 ,648.82 ,664.73 ,612.90 ,
吉林,593.82 ,659.44 ,685.40 ,630.73 ,706.70 ,513.53 ,794.90 ,712.52 ,452.01 ,509.10 ,597.01 ,614.84 ,623.82 ,648.90 ,707.20 ,630.80 ,712.74 ,612.10 ,657.80 ,746.30 ,785.17 ,793.27 ,739.46 ,738.34 ,774.70 ,780.69 ,661.68 ,
黑龙江,481.50 ,538.40 ,583.60 ,505.60 ,542.10 ,458.10 ,482.30 ,463.20 ,439.00 ,388.40 ,478.50 ,408.30 ,490.20 ,505.30 ,490.80 ,392.10 ,497.60 ,461.40 ,528.50 ,565.20 ,538.30 ,568.40 ,585.80 ,581.50 ,599.40 ,631.63 ,630.31 ,
上海,663.80 ,666.67 ,689.70 ,567.90 ,626.51 ,705.90 ,661.70 ,667.60 ,711.54 ,709.30 ,659.30 ,681.82 ,613.91 ,661.21 ,685.42 ,641.03 ,588.24 ,575.54 ,665.91 ,660.33 ,659.69 ,699.72 ,663.29 ,611.78 ,684.30 ,692.46 ,693.02 ,
江苏,520.90 ,550.40 ,473.20 ,586.13 ,555.54 ,555.13 ,604.44 ,582.90 ,559.50 ,604.70 ,599.50 ,436.50 ,556.60 ,472.10 ,520.90 ,504.20 ,509.30 ,540.64 ,541.20 ,545.90 ,549.53 ,507.61 ,547.97 ,558.31 ,526.57 ,585.53 ,581.50 ,
