name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
北京市,104.7,104.4,91.03,78.1,93.56,102.2,95.5,99.4,98.32,118.4,112.81,107.7,118.8,114.94,106.62,118.5,113.05,127.83,115.74,117.04545,113.52,107.79,107.1,104.47,108.99,107.95,80
天津市,56.61,77.6,40.83,65.14,77.63,89,103,94.73,116.5,141.44,139.2,134.1,138.52,136.5,137.9,138,119.86,127.5,121.1,120.41819,103.89,123.71,126.54,135.71,162.43,120.02,106.81
河北,34.69,37,56.91,52.88,60.4,66,85.6,83.5,97.64,100.19,98.65,89.79,99.44,100.65,105.44,162.25,106.87,99.71,91.4,98.3,92.28,91.54,92.86,80.19,103.6,108.97,113.73
山西,63,75.03,65.7,71.5,78.21,64.9,85.5,83.72,104.1,93,103.32,100.24,104.83,105.6,107.6,110.7,119.8,114.6,118,118.8,125.8,130.7,125.9,136.4,146.4,139.5,139.9
内蒙古,102.23,60,,,172.5,179,168.1,289.51,322.5,339.4,368.43,105.52,110.54,111.71,113.5,139.3,142.9,144.71,126.5,144.68614,149.52,145.38,146.25,149.3,149.32,149.3,137.62
辽宁,37.3,79,65.2,76.4,87,77.4,87.41,65.91,76.3,103,99.4,82.9,89.5,116.7,133.33,194.44,169.6,109.89,152.33,182.18,209.01,260,155.36,162.11,187.88,163.61,229.17
吉林,,,,,,,,,,,,,44,166.5,186.8,94.34,221.69,122.91,156.6,181.22939,191.9,184.8,165.07,,,,
黑龙江,,,,,,,,,,,,,,,,,119.4,,,,,,,,,,
上海,103.6,91.14,95.9,109.1,138.3,111.91,105.81,109.2,116.2,129.2,123.33,142.9,163.6,163.6,166.7,179.3,213.62,198.3,145.4,194.03226,193.44,195.52,152.49,108.84,297.7,102.37,117.69
江苏,78.32,82.9,85.51,99.42,110.61,115.7,111,93.9,106.5,119.93,116.4,78.8,122.8,87.62,107.51,106.3,108.48,101.2,110.7,103.155,129.21,134.85,121.02,123.96,116.5,122.5,124.1
浙江,83.8,95,89.8,96.8,102.5,76.8,103.3,106.8,110,114.3,119.5,119.3,121.3,120.4,130,135.1,138.5,139.7,141.2,148.9,142.9,142.3,143.8,144.6,147,141.91,142.16
安徽,63,73.62,58.23,68,65.3,75.4,73.33,64.31,86.7,98.4,104.92,61.8,103.3,81.6,98.2,99.6,96.7,105.5,91.8,107.89211,96.41,88.07,99.28,100.6,100.9,97.06,102.56
福建,0,0,0,0,0,0,94.2,111.3,76.4,77.9,71.72,85.4,97.14,88,82.5,84.4,84.7,76.6,43.6,69.70083,69.29,75.47,79.74,80.36,76.9,,79.88
江西,109.82,103.3,107,90,114.6,129.5,70.2,91.7,98.6,114.2,121.73,116.24,135.7,136.5,144.6,157.5,170.8,165.7,164,174.296,179.04,154.58,157.43,142.1,148.63,151.66,154.5
山东,45.5,53.9,70.5,70.7,77.3,89.4,99.6,107.2,108.5,106.2,108.6,99.4,103.6,100,114.9,111.2,117.2,115.1,94.5,104.3,101.2,92.3,112.2,104.2,117.9,118.63,118.42
河南,52.8,67.8,65,77,78.83,91,91.1,96.5,90.31,96.5,96.5,40.7,70.1,86.62,108.3,107.14,107.4,96.3,95.7,96.4,100.1,101.6,95.9,105.31,97.44,108.96,103.33
湖北,120.3,87.44,90.44,116.73,90.7,120.9,75.3,90.6,95.7,107.8,110.102,91.549,96.9,96.1,111.201,108.4,94.549,104.44,98.3,107.60038,115.32,110.61,104.27,112.41,92.7,89.67,93.75
湖南,121.2,122.5,113.9,120.7,109,144.84,96.9,112.13,108.22,127.2,118.44,117.4,121.04,130.9,143.4,142,134.75,138.93,129.71,117.98337,145.55,124.09,99.15,127.2,118.5,114.46,134.1
广东,,,,,,,,,,,,,,,,,,,,,,,,,,,
广西,22.91,31,38.7,39.13,44.31,46.94,43.6,46.83,47.5,57.6,50.4,50.3,51.53,53.61,83.33,84.04,89,92.3,92.83,97.38422,100.96,106.65,108.31,110.85,112.72,117.95,105.81
海南,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆,85.2,200,100,50,,43.5,67.8,55.4,42.12,49.32,48.83,58,56,72.61,63,63.33,57.65,60.9,62.84,63.65688,63.64,65.95,,,,,
四川,93.4,62.32,51.4,79.7,79.9,77.14,72.8,80.71,84,44.84,71.6,81.3,92.4,88.8,64.3,77.4,83.88,91.74,87.62,91.30707,91.23,94.24,94.43,97,110.46,97.18,99.13
