name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,
北京市,288.40 ,314.30 ,316.11 ,288.30 ,282.80 ,282.70 ,302.00 ,273.69 ,262.25 ,311.56 ,299.79 ,244.60 ,271.70 ,296.50 ,305.50 ,313.47 ,308.01 ,305.04 ,299.12 ,298.60 ,307.03 ,299.83 ,276.58 ,290.45 ,298.18 ,283.47 ,277.15 ,
天津市,236.52 ,250.52 ,244.60 ,253.90 ,228.02 ,247.00 ,255.40 ,224.50 ,211.71 ,289.71 ,290.60 ,297.31 ,346.20 ,343.20 ,322.60 ,347.10 ,348.64 ,357.90 ,357.30 ,355.82 ,328.21 ,348.36 ,334.04 ,351.17 ,339.76 ,359.44 ,369.49 ,
河北,164.50 ,211.04 ,248.39 ,254.76 ,268.60 ,267.20 ,278.70 ,274.05 ,286.16 ,291.76 ,292.73 ,302.64 ,307.12 ,319.81 ,322.74 ,333.76 ,341.74 ,343.80 ,351.74 ,357.89 ,358.05 ,365.78 ,366.68 ,371.61 ,379.40 ,387.60 ,381.48 ,
山西,163.30 ,195.37 ,188.30 ,185.40 ,201.10 ,131.70 ,193.50 ,151.80 ,196.70 ,174.80 ,201.54 ,220.11 ,228.30 ,196.20 ,194.20 ,194.20 ,212.20 ,225.73 ,233.24 ,244.39 ,218.88 ,231.40 ,223.49 ,181.86 ,202.22 ,226.31 ,248.34 ,
内蒙古,148.20 ,186.92 ,160.50 ,198.70 ,218.00 ,242.93 ,251.90 ,142.80 ,169.14 ,80.22 ,118.01 ,187.53 ,177.30 ,145.20 ,212.80 ,183.10 ,209.03 ,163.34 ,175.14 ,173.89 ,191.30 ,196.90 ,231.53 ,252.66 ,256.64 ,253.91 ,270.65 ,
辽宁,143.10 ,183.90 ,194.50 ,172.30 ,200.30 ,194.20 ,217.70 ,186.93 ,179.40 ,228.40 ,208.40 ,201.90 ,198.50 ,234.70 ,254.94 ,253.30 ,304.10 ,205.20 ,289.29 ,309.05 ,324.04 ,325.92 ,203.02 ,161.19 ,281.45 ,294.55 ,268.52 ,
吉林,230.30 ,200.00 ,239.30 ,216.90 ,217.04 ,227.72 ,162.42 ,335.10 ,241.81 ,203.41 ,431.50 ,248.40 ,245.10 ,256.24 ,262.60 ,219.70 ,275.80 ,249.10 ,273.90 ,304.06 ,330.08 ,376.55 ,363.02 ,322.33 ,323.22 ,328.49 ,327.82 ,
黑龙江,182.00 ,134.00 ,186.30 ,143.11 ,190.00 ,240.51 ,101.64 ,214.22 ,113.50 ,178.61 ,201.50 ,178.14 ,214.94 ,202.32 ,243.70 ,187.00 ,150.54 ,189.50 ,217.51 ,254.07 ,284.40 ,287.51 ,291.13 ,309.01 ,203.50 ,265.47 ,295.05 ,
上海,163.70 ,279.64 ,244.00 ,275.30 ,294.81 ,313.30 ,319.23 ,328.61 ,469.43 ,355.00 ,325.20 ,280.50 ,347.31 ,333.33 ,324.90 ,276.60 ,280.90 ,274.60 ,276.20 ,266.50 ,258.99 ,266.93 ,272.59 ,275.31 ,272.14 ,282.04 ,278.55 ,
江苏,284.03 ,300.56 ,305.73 ,325.80 ,320.90 ,337.20 ,345.90 ,356.90 ,349.91 ,365.30 ,374.32 ,240.40 ,316.22 ,318.20 ,348.50 ,353.60 ,350.20 ,366.50 ,364.60 ,369.20 ,375.60 ,374.50 ,380.00 ,387.08 ,390.95 ,394.58 ,399.76 ,
