name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
北京市,,,,,,,,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,,,,,,422.32,361.98,714.94
河北,214.3,144.74,234.71,205.16,233.13,165.8,252.1,175.5,128.5,140.3,173.4,244.9,239.7,226.8,245.67,191.72,233.3,177.45,290.06,280.97,370.36,364.48,340.19,327.16,543.81,630.82,650.13
山西,223.7,248.9,250.42,165.41,242.8,191.1,225.22,110.1,218.74,124.13,246.2,253.5,196.1,147.94,161.62,198.93,197,114.08,124.74,145.25,154.86,175.5,188.97,178.47,226.83,243.13,288.75
内蒙古,234.63,242.5,218.37,206.52,293.62,246.04,251,189,283.73,190.1,289.8,326.2,357.64,271.8,298.53,243.2,277.2,236.8,245.65,275.7,271.12,328.13,297.29,285.65,299.04,318.14,426
辽宁,348.03,361.22,310.39,363.5,377.88,385.8,426,395.12,382.13,238.9,380.4,427.7,307.9,333,484.02,598.1,592.9,472.09,642.73,705.67,499.32,522.3,658.49,583.72,571.35,622.04,497.82
吉林,390.1,396.53,300,387.41,468.4,303.1,555.6,465.4,389.8,443.1,592.54,578,678.2,721.31,262.2,219.4,268.71,245.99,844.1,611.26,836.15,653.85,834.18,835.5,677.24,694.37,797.02
黑龙江,338.9,366.58,336.83,346.5,417.5,334.5,246.04,239.3,207.7,293.1,301.13,239.3,303.4,289.9,503.6,226.64,230.74,329.74,513.94,537.89,546.05,403.41,443.44,467.05,482.87,487.71,502.2
上海,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江,231,236.65,235.03,258.39,273.8,296.85,277.4,295.6,310.32,267.72,,,,,,,318.03,319.9,319.59,384.93,406.52,403.67,404.89,404.05,393.49,414.8,384.82
安徽,,370.37,386.4,511.28,521.13,412.7,404.3,580.9,405.41,535.3,449.24,472.9,475.34,436.62,619.9,628.11,632.5,637.91,640.96,,476.43,245.81,219.1,233.33,260.38,584.62,326.23
福建,231.2,251.86,268.8,284.21,297.2,316.9,320.82,330.03,327.31,325.23,325.53,331.9,336.62,339,351.31,359.12,367.71,372.38,359.62,376.83,383.21,391.72,397.37,405.43,407.04,413.22,419.95
江西,,,,,,,,,,,,,537.6,502.4,517.5,578.04,,,,375.97,556.45,593.03,617.86,593.28,521.63,521.92,555.05
山东,,3026.3,568.34,542.8,571.92,2847.8,619.7,651.8,660.2,596.64,635,,,,,,,,,,,,,,,,
河南,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖北,251.3,351.6,275.1,271.1,269.02,279,310.8,311,300,326.9,254.4,303.4,320.5,316.6,300.2,319.1,325.3,320.43,321.41,309.13,309.87,311.94,303.59,304.81,302.51,318.43,296.97
湖南,215.2,213.7,215.9,263.01,278.71,258.1,267.74,274.4,312.5,319.2,308.64,318.2,316.1,352.2,368.82,396,394.2,346.98,375.26,382.8,397.26,366.17,355.57,387.23,421.09,416.22,506.73
广东,341.7,360.7,368.12,382.4,388.54,417.32,419.54,438,411.32,428.8,400.64,400.5,409.5,430.5,439.43,435.11,443.9,458.71,485.56,496.8,502.43,505.49,511.39,498.81,475.55,488.1,488.15
广西,,,,,,,,,,,,,,,,,,,299.192,336.28,409.38,410.85,392.45,414.77,252.05,248.65,246.59
海南,,,,,,,,,,,,,,,,,450,1500,604.23,414.56,441.19,439.98,420.74,370.61,363.15,410.56,
重庆,,,,,,274.5,267.5,256.83,269.11,259.6,245.4,255.4,303.23,319.14,270.95,293.3,328,327.12,333.46,337.44,337.74,341.53,341.6,352.13,347.59,350.95,354.69
四川,297.5,266.43,352.91,355.1,278,295.7,294.5,314.29,303.72,316.6,341.63,357.03,363.7,394.3,453.33,526.2,581.74,376.01,409.95,360.17,368.3,365.89,370.04,385.85,414.18,414.81,417.75
贵州,231.8,231.42,225.91,254.6,255.44,252.94,249.94,252.21,260.94,258.84,269.2,260.9,257.9,196.12,236.9,252.5,248.13,241.75,218.99,283.93,265.78,306.6,321.76,335.06,322.11,331.14,330.61
云南,261.2,279.29,269.45,281.75,288.5,282.44,274.1,278,338.6,313.2,348.81,332.04,348.2,317.22,318.93,309,309.8,307.13,309.98,321.27,338.67,366.95,305.32,305.43,309.36,308.62,313.79
西藏,166.7,166.7,,230.8,1000,,,625,,,418.182,720,1817.204,1036.364,1163.934,806.45,962.26,727.27,648.15,654.55,575.34,621.95,524.75,634.62,559.85,558.48,669.36
陕西,180.6,243.67,220.2,168.8,204,144,217.14,163.04,236.7,195.24,225.6,234.6,253.93,124.22,204.6,220.5,216.32,212.31,220.7,233.39,249.81,245.27,259.63,248.74,252.59,255.85,265.88
甘肃,206.6,191.52,200.46,190.6,223.55,213.3,252.1,247.1,251.7,303.2,292,302.21,311.03,357.6,324.1,314.12,326.44,297.41,286.93,338.01,349.67,350.09,348.53,338.82,335.46,338.63,354.51
青海,327.1,327.7,381.2,392.6,364.28,376.3,396,334.92,322.51,420.04,402,429.22,428.2,430.8,385.45,404.2,422.7,442.01,421.52,418.85,388.43,383.22,386.98,385.71,401.15,400.92,410.33
宁夏,145.5,179.8,206.14,168.24,202.2,181.22,209.5,201.7,230.4,245.1,213.44,257.84,255.1,234.8,173.95,206.31,181.25,179.47,191.52,198.29,195.64,204.25,237.44,218.13,277.3,296.63,330.94
新疆,409.52,400,482.63,,537.82,463.8,541.9,501.73,506.22,577.8,554.5,637.9,409.8,441.4,671.4,611.5,,881.83,577.85,451.16,457.47,527.71,667.36,671.16,684.64,703.36,674.6
台湾,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳门,,,,,,,,,,,,,,,,,,,,,,,,,,,
