name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
北京市,667.72 ,701.90 ,791.70 ,720.53 ,692.64 ,681.03 ,685.60 ,675.50 ,665.72 ,632.40 ,644.44 ,627.33 ,612.66 ,575.00 ,623.20 ,615.40 ,681.82 ,631.60 ,633.33 ,653.36 ,644.39 ,691.20 ,694.31 ,697.14 ,672.11 ,599.20 ,675.27 
天津市,702.32 ,764.42 ,791.73 ,808.30 ,768.10 ,769.60 ,831.56 ,657.94 ,409.32 ,650.92 ,751.51 ,807.14 ,810.40 ,729.34 ,732.10 ,696.90 ,699.73 ,701.81 ,709.31 ,752.81 ,765.75 ,768.59 ,741.45 ,737.83 ,755.71 ,863.69 ,937.65 
河北,639.60 ,683.39 ,749.89 ,701.89 ,650.09 ,659.09 ,647.69 ,601.65 ,457.31 ,502.07 ,501.89 ,543.27 ,565.90 ,588.18 ,577.03 ,678.40 ,681.43 ,675.08 ,680.47 ,724.88 ,579.82 ,676.77 ,633.28 ,640.52 ,671.26 ,672.23 ,669.26 
山西,627.91 ,575.10 ,585.40 ,643.60 ,550.40 ,620.52 ,655.74 ,555.60 ,723.40 ,451.90 ,567.80 ,398.71 ,405.00 ,334.90 ,476.20 ,416.30 ,123.10 ,436.80 ,444.00 ,453.00 ,594.00 ,684.00 ,688.50 ,664.50 ,700.00 ,681.00 ,696.00 
内蒙古,439.10 ,449.59 ,447.94 ,503.80 ,568.60 ,578.21 ,511.90 ,588.80 ,609.80 ,657.80 ,623.84 ,671.94 ,673.70 ,735.90 ,719.24 ,753.70 ,720.40 ,636.60 ,811.60 ,865.74 ,820.11 ,738.07 ,670.43 ,673.65 ,641.51 ,697.50 ,810.00 
辽宁,740.60 ,777.73 ,689.30 ,553.91 ,708.90 ,784.30 ,763.97 ,826.80 ,770.10 ,650.20 ,730.10 ,701.91 ,737.80 ,732.80 ,682.70 ,764.50 ,767.60 ,770.52 ,675.42 ,765.80 ,767.30 ,780.79 ,803.24 ,858.27 ,861.45 ,856.65 ,855.98 
吉林,684.90 ,675.71 ,701.10 ,691.11 ,800.30 ,830.30 ,839.90 ,872.53 ,640.90 ,540.42 ,555.50 ,588.22 ,729.30 ,723.70 ,742.50 ,746.40 ,879.00 ,764.70 ,844.10 ,902.00 ,758.75 ,775.14 ,786.57 ,827.22 ,837.87 ,833.83 ,769.70 
黑龙江,483.81 ,527.94 ,549.32 ,562.70 ,574.30 ,616.30 ,590.92 ,584.80 ,649.00 ,648.60 ,588.72 ,652.90 ,711.70 ,679.60 ,682.70 ,629.31 ,635.00 ,639.83 ,665.95 ,700.10 ,707.28 ,699.26 ,702.25 ,698.79 ,704.05 ,713.96 ,709.88 
上海,710.00 ,713.70 ,761.31 ,755.24 ,776.25 ,796.10 ,802.30 ,768.62 ,779.10 ,827.63 ,820.61 ,774.23 ,800.30 ,758.34 ,810.90 ,788.34 ,822.34 ,829.70 ,832.80 ,837.90 ,848.13 ,852.11 ,854.43 ,859.80 ,860.00 ,822.17 ,849.25 
江苏,706.20 ,737.33 ,740.21 ,799.30 ,800.60 ,812.30 ,881.63 ,807.73 ,817.50 ,842.30 ,862.70 ,763.01 ,791.90 ,772.50 ,802.40 ,790.42 ,793.70 ,807.30 ,809.20 ,829.02 ,842.89 ,848.43 ,841.66 ,852.02 ,841.63 ,845.76 ,884.10 
浙江,560.80 ,569.70 ,583.60 ,570.13 ,597.40 ,593.51 ,601.52 ,583.63 ,619.70 ,653.43 ,665.03 ,660.50 ,668.20 ,626.90 ,686.20 ,667.40 ,704.50 ,710.20 ,702.10 ,725.40 ,730.56 ,700.12 ,715.97 ,702.89 ,725.55 ,716.82 ,733.26 
安徽,545.20 ,575.50 ,563.22 ,589.00 ,593.00 ,583.30 ,644.12 ,606.20 ,546.20 ,602.20 ,649.42 ,488.60 ,606.72 ,582.01 ,603.83 ,615.10 ,623.50 ,625.60 ,616.12 ,621.80 ,629.11 ,615.28 ,628.93 ,652.97 ,618.76 ,632.39 ,660.66 
福建,496.30 ,502.13 ,498.50 ,515.50 ,529.00 ,527.50 ,525.11 ,518.72 ,517.71 ,524.70 ,514.82 ,543.81 ,553.90 ,553.40 ,560.32 ,576.73 ,590.80 ,596.03 ,594.20 ,608.22 ,608.72 ,614.08 ,617.86 ,614.77 ,612.79 ,625.51 ,642.83 
江西,494.30 ,492.34 ,508.32 ,493.10 ,537.84 ,534.03 ,491.50 ,530.92 ,526.80 ,531.10 ,520.92 ,506.70 ,521.30 ,532.80 ,558.40 ,565.50 ,572.00 ,580.70 ,560.00 ,587.80 ,593.69 ,600.37 ,606.43 ,606.50 ,606.88 ,606.66 ,608.87 
山东,659.63 ,692.40 ,716.60 ,752.62 ,749.54 ,680.83 ,881.40 ,670.51 ,627.04 ,634.30 ,704.10 ,691.62 ,728.10 ,799.70 ,824.70 ,844.10 ,844.90 ,832.11 ,829.43 ,834.80 ,834.58 ,841.63 ,825.25 ,817.85 ,832.83 ,828.06 ,866.10 
河南,548.84 ,648.70 ,601.53 ,656.60 ,656.02 ,700.50 ,741.80 ,654.81 ,693.71 ,487.40 ,716.80 ,477.50 ,704.42 ,704.00 ,708.20 ,727.50 ,732.80 ,737.80 ,750.40 ,743.70 ,759.90 ,757.50 ,813.60 ,810.24 ,827.71 ,788.99 ,808.19 
湖北,688.30 ,681.93 ,712.50 ,718.60 ,703.20 ,737.43 ,729.34 ,737.70 ,750.40 ,730.40 ,760.80 ,743.10 ,754.80 ,739.10 ,728.03 ,750.90 ,775.02 ,778.41 ,764.32 ,794.10 ,818.37 ,797.96 ,806.67 ,827.39 ,794.72 ,813.81 ,822.09 
