Name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
北京市,267.44,245.61,302.1,263.12,250.1,247.31,245.1,194.85,213.62,240.1,225.81,171.78,218.75,211.01,209.8,164.66,204.4,178.7,167.14,201.12,196.01,196.01,145.76,187.72,189.48,214.13,198.67
天津市,156.13,176.4,194.64,179.6,147.1,107.34,114.62,76.7,113.9,179.3,155.73,197.41,153.3,138.6,121.21,122.83,124.6,128.39,132.72,136.62,123.12,123.12,130.6,200.75,235.09,230.1,218.32
河北,105,145.8,171.32,163.3,155.53,126.5,153.2,129.5,148.53,148.6,149.2,165.5,161.62,166.41,187.31,192.9,203.21,171.76,187.26,216.92,203.21,196.21,204.5,194.95,233.21,243.4,242.43
山西,96.44,120.17,104.4,95.74,136.54,80.24,132.62,109.21,131.92,102.1,121,143.8,145.81,119.21,122.6,125.3,111.61,70.81,79.2,82,104.07,104.07,107.98,106.5,124.52,130.65,156.75
内蒙古,112.3,158,155.7,94.3,150.32,128.5,121.5,112,108.1,110.5,161.63,76.9,136.94,164.2,138.52,150.63,158.82,136.2,164.3,199.6,212.1,212.1,162.61,167.48,163.26,164.44,163.95
辽宁,105.5,153.2,161,151.2,168.9,139.3,196.7,166.7,159.3,162.7,186.4,211.71,176.1,151.5,294.5,245.46,18,182.82,276.34,18.9,269.53,247.1,209.59,224.02,213.27,259.85,244.9
吉林,172.34,198.9,211.53,206.81,214.12,202.2,242.52,228.5,223.2,255.43,307.2,349.53,289.14,257.92,315.44,176,198.21,187.47,229.77,258.47,211.59,211.59,175.09,173.28,199.15,227.76,197.47
黑龙江,161.6,165,183.7,174.6,191.4,240.8,180.8,207.4,156.9,172.6,211.5,173,198.5,177.5,165.7,113.8,150.8,147,165.1,175.9,182.3,172.2,184,187.4,174.6,184.56,184.37
上海,250,211.01,223.7,348.5,270.9,215.7,254.04,306.9,306.5,365.22,411.9,326.5,329.6,351.03,310.1,224.4,208,218.18,260.05,267.44,275.26,265.52,,260.58,260.46,195.46,269.98
江苏,202.3,179.53,193.81,228,238.51,254.4,293.03,270,268.71,274.6,288.9,234.81,263.52,226.63,250.61,253.1,258.8,261.33,263.7,262.21,262.81,224.59,232.78,239.71,233.55,231.24,253.52
浙江,191.8,204.5,217.44,219.64,229.12,230.6,222,214.4,220.1,232.2,229.6,226.7,228,226.5,229.39,234.5,239.8,244.51,246.58,274.77,285.02,256.49,270.69,256.5,242.85,253.51,251.79
安徽,134.71,165.1,157.12,145.8,139.1,167,180.3,209.9,134.12,131.52,186.51,116.81,126.72,96.84,129.76,121.13,129.3,128.52,127.63,121.34,128.9,124.9,135.04,154.5,150.95,151.53,150.01
福建,138.8,150.91,157,159.81,169.1,180.02,188.5,192.31,194.5,199.6,200.43,198.8,208.3,212.71,215.8,224.8,233.8,237.82,236.38,244.17,251.51,251.51,258.56,261.95,266.39,270.01,277.39
