name,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年
北京市,,,,,,,,,,100.00 ,,,,,,,,,,
天津市,,,,380.95 ,,420.00 ,416.67 ,428.57 ,440.00 ,443.04 ,442.86 ,423.53 ,437.50 ,448.60 ,456.90 ,491.38 ,,,,
河北,,,,1000.00 ,,400.00 ,357.14 ,484.85 ,428.57 ,428.57 ,400.00 ,523.42 ,196.43 ,223.40 ,483.33 ,480.39 ,510.64 ,,,
山西,,,,187.50 ,,307.69 ,400.00 ,400.00 ,333.33 ,333.33 ,333.33 ,400.00 ,400.00 ,500.00 ,500.00 ,666.67 ,,,,
内蒙古,,,,347.92 ,,311.77 ,301.28 ,329.21 ,340.56 ,324.12 ,291.77 ,300.93 ,309.06 ,315.83 ,273.11 ,280.62 ,286.32 ,,,
辽宁,,,,446.33 ,,347.42 ,762.50 ,427.42 ,475.73 ,511.36 ,493.33 ,536.23 ,470.59 ,482.14 ,482.76 ,482.14 ,379.31 ,,,
吉林,,,,153.85 ,,284.21 ,2727.27 ,296.30 ,315.79 ,243.90 ,333.33 ,406.25 ,,,250.00 ,333.33 ,333.33 ,,,
黑龙江,,,,361.50 ,,378.27 ,381.93 ,295.28 ,374.79 ,396.79 ,330.36 ,348.56 ,333.17 ,292.48 ,319.84 ,306.61 ,363.86 ,,,
上海,,,,,,,,,,,,,,,,,,,,
江苏,,,,,,,,,,,,,,,,,,,,
浙江,,,,,,,,,,,,,,,,,,,,
安徽,,,,,,,,,,,,,,,,,,,,
福建,,,,,,,,,,,,,,,,,,,,
江西,,,,,,,,,,,,,250.00 ,,,,,,,
山东,,,,,,446.81 ,142.86 ,666.67 ,500.00 ,1000.00 ,,,,,,,,,,
河南,,,,,,,,,,,,,,,,,,,,
湖北,,,,,,,,,,,,,,,,,,,,
湖南,,,,,,,,,,,,,,,,,,,,
广东,,,,,,,,,,,,,,,,,,,,
广西,,,,154.47 ,,168.22 ,152.54 ,,,,,,,,,,,,,
海南,,,,,,,,,,,,,,,,,,,,
重庆,,,,,,,,,,,,,,,,,,,,
四川,,,,,,,,195.65 ,217.39 ,186.81 ,250.00 ,247.19 ,252.87 ,,,,,,,
贵州,,,,,,,,,,,,,,,,,,,,
云南,,,,,,,,333.33 ,272.73 ,304.35 ,285.71 ,,,,,,,,,
西藏,,,,407.14 ,,595.74 ,486.96 ,500.00 ,730.34 ,515.15 ,500.00 ,587.63 ,642.11 ,540.82 ,553.19 ,673.47 ,533.33 ,,,
陕西,,,,,,,,,,,,,,,,,,,,
甘肃,,,,364.53 ,,331.71 ,360.01 ,317.01 ,391.86 ,330.06 ,359.19 ,420.74 ,384.82 ,364.39 ,483.09 ,476.36 ,486.01 ,,,
青海,,,,346.73 ,,405.99 ,253.62 ,398.70 ,402.30 ,374.64 ,369.31 ,376.60 ,373.67 ,377.36 ,393.91 ,386.62 ,383.55 ,,,
宁夏,,,,323.49 ,,351.90 ,368.97 ,344.48 ,388.72 ,391.11 ,357.01 ,441.76 ,346.37 ,503.12 ,483.28 ,435.85 ,440.30 ,,,
新疆,,,,754.39 ,,457.27 ,458.50 ,495.73 ,444.04 ,490.95 ,556.71 ,527.43 ,531.62 ,511.45 ,571.21 ,576.87 ,575.48 ,,,
台湾,,,,,,,,,,,,,,,,,,,,
香港,,,,,,,,,,,,,,,,,,,,
澳门,,,,,,,,,,,,,,,,,,,,
