name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年
北京市,580.9,590.1,592.5,585.2,548.8,562.8,564.84,568.5,549.6,504.13,512.7,514.4,517.63,501.7,475.82,493.23,512.4,511.91,460.94,488.3,525.81,,,,,
天津市,438.5,428.6,429.7,468.22,461.9,524.62,503.73,504.4,490.42,422.6,459.9,458.62,483.7,482.53,484,485.2,489.5,494.14,483.87,487.96,497.29,,,,,
河北,361.2,357.3,375.5,424.1,439.7,489.32,453.63,469.13,451,435.2,449.6,464.64,487.1,484.1,475.14,494.9,505.8,513.73,508.63,532.6,555.93,,,,,
山西,264.1,319,297.84,297.2,319.7,367.4,334.54,290.1,240.62,277.13,304.64,355.3,365.6,280.7,344.3,309.02,362.8,290.16,318.77,338.3,376.11,,,,,
内蒙古,,,,,,,,,,246.22,,,,,,,,,,,,,,,,
辽宁,304.4,386.4,281.3,534.9,428.72,428.6,475.4,434.14,442.62,156.5,220,328.8,294.12,500,,,,,,,,,,,,
吉林,,,,,,,,,,215.24,,,,,,,,,,,,,,,,
黑龙江,,,,,,,,,,221.6,,,,,,,,,,,,,,,,
上海,396.4,377.31,340.3,389.53,413.5,411.8,299.5,394.9,432.6,391.81,330.2,341.34,363.2,331.8,361.3,390.03,412,383.76,389.68,403.11,398.38,,,,,
江苏,425.2,412.81,415,415.1,457.64,454.73,328.2,475.6,407.5,411,375.6,375.64,429.5,432.5,471.4,477.6,481.5,483.45,481.64,484.35,491.78,,,,,
浙江,265.32,279.3,252.2,259.9,281.2,294.1,239.91,280.32,310.41,305.4,269.84,291.6,319.84,324.9,346.2,373.12,390.3,384.96,372.98,372,363.81,,,,,
安徽,311.3,343.9,352.21,350.9,362.3,440.4,285.84,414.42,332.53,378.3,332.4,319.5,383.6,383.3,450.22,476.91,497.7,499.8,510.08,510.16,535.71,,,,,
福建,178.51,253.9,261.6,269.2,279.3,285.24,279.9,286.9,284.24,286.2,285.11,315.9,310.7,331.63,330,333.21,333,292.99,284.01,288.34,287.42,,,,,
江西,115.9,128.4,124.2,125,134.72,145.6,139.82,156.1,153.7,154.1,151.5,140.22,153.73,171.6,173.5,176.8,185.3,192.15,203.08,201.1,193.72,,,,,
山东,454.83,465.83,478.3,513.8,509.2,555.1,508.41,528.53,496.3,466.8,455.4,504.02,536.33,549.3,566.1,567.1,577,577.49,577.95,585.48,601.1,,,,,
河南,350.23,397.11,373.31,364.4,416.33,481.5,417.72,469.12,454.3,479,463.04,477.2,510.9,519.42,563.8,571.7,580,580.62,583.75,586.66,595.01,,,,,
湖北,289.1,304.2,312.74,308.2,307.9,350.02,338,283.6,276.52,289.4,215.93,274.24,292.42,291.61,305.92,322.2,329,333.89,343.03,340.15,347.99,,,,,
湖南,140,157.1,160.4,160.64,178.6,178.53,177.5,170.4,196.5,194.51,183.8,191.01,191.2,204,214.81,235.3,235.3,225.35,252.55,252.48,242.84,,,,,
广东,192.4,,255.91,,,,,,,275.8,,,285,285,250,300,289.2,,282.56,300,322.58,,,,,
广西,112.7,120.6,113.64,129.63,131,150.5,137.3,131.7,,149.7,,,,,155.7,153.4,135.1,,135.71,141.89,133.33,,,,,
海南,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆,,,,,,230.81,238.23,199.02,217.3,218,240.11,259.7,279.5,281.2,288.83,305.8,308,307.24,305.12,306.34,306.63,,,,,
四川,312.83,301.1,305,313.42,304.6,334.11,322.4,298.64,331.54,299.41,315.12,323.21,331.1,338.6,345.7,344.1,332.6,332.39,338.56,346.93,354.82,,,,,
贵州,192.1,248.8,170.7,191.81,178.2,180.9,180.2,180.5,182.41,168.5,174.6,157.3,179,177.8,185,197.2,163.1,169.33,95.22,195.56,201.69,,,,,
云南,215.3,222.41,199.2,220.3,220.81,236.22,214.2,214.43,235.8,215.2,222,219.14,224,200.8,212.44,213.2,195,213.03,106.3,225.78,199.68,,,,,
西藏,484.2,388.8,531.8,480.4,545.9,546.3,542.7,598.2,638.7,654.6,726,751.6,768.4,612.4,698.1,722.1,679.3,725.4,705.4,686.6,651.7,669.2,674.8,631.2,662,583.1
陕西,252,302.3,249.2,256.5,253.3,351.9,313.21,255.4,273.42,285.51,298.74,320.7,356,331.2,336.5,313.72,343.4,334.3,351.47,361.5,386.22,,,,,
甘肃,169,224.3,180.1,116.9,181.32,179.52,258.9,176.12,142.4,263.44,252.4,241.6,251.1,225.4,228.2,197.61,251.8,237.72,249.57,227.58,311.3,,,,,
青海,,,,,,,377.24,,,328.43,,,,,,,,,,,,,,,,
宁夏,128.21,157.2,100.63,65.9,,,,60.12,85.1,279.32,363.2,160.64,176.7,153.5,300.01,147.2,179.4,244.21,306.41,195.24,,,,,,
新疆,386.23,400.73,405.84,460.64,474.62,460.64,554.11,508.12,492.8,498.2,517.93,545.3,554.93,576.8,576.8,590.9,627.7,572.38,556.69,537.97,534.13,,,,,
台湾,,,,,,,,,,,,,,,,,,,,,,,,,,
香港,,,,,,,,,,,,,,,,,,,,,,,,,,
澳门,,,,,,,,,,,,,,,,,,,,,,,,,,
