name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
北京市,580.51 ,589.80 ,592.51 ,583.13 ,548.50 ,562.80 ,564.84 ,568.50 ,549.43 ,504.13 ,512.70 ,514.40 ,517.50 ,501.70 ,475.82 ,493.11 ,512.40 ,511.80 ,461.00 ,488.30 ,525.79 ,517.19 ,517.67 ,535.29 ,537.39 ,549.23 ,536.74 
天津市,435.40 ,428.00 ,424.40 ,463.04 ,456.42 ,512.31 ,495.80 ,500.00 ,488.82 ,422.60 ,460.00 ,458.62 ,478.90 ,479.70 ,482.75 ,482.50 ,487.23 ,490.33 ,481.40 ,482.80 ,492.93 ,518.93 ,529.73 ,547.97 ,549.02 ,573.77 ,515.43 
河北,361.12 ,357.19 ,375.32 ,424.01 ,439.60 ,489.11 ,453.56 ,469.07 ,450.93 ,435.18 ,448.86 ,464.64 ,487.26 ,483.91 ,475.03 ,494.82 ,505.74 ,517.90 ,508.52 ,532.59 ,555.09 ,583.46 ,600.79 ,619.33 ,619.41 ,633.75 ,615.45 
山西,265.40 ,317.93 ,295.30 ,294.50 ,319.80 ,366.50 ,333.10 ,289.91 ,240.90 ,277.13 ,304.70 ,355.30 ,365.42 ,280.50 ,344.30 ,309.10 ,362.80 ,290.20 ,319.50 ,339.10 ,376.60 ,340.60 ,384.10 ,402.10 ,406.30 ,414.60 ,408.00 
内蒙古,247.70 ,251.10 ,227.00 ,257.91 ,291.40 ,264.40 ,258.80 ,291.20 ,294.60 ,246.22 ,261.50 ,248.60 ,263.91 ,311.70 ,356.15 ,329.30 ,340.60 ,324.13 ,291.90 ,301.01 ,309.10 ,315.82 ,273.12 ,280.56 ,284.95 ,280.52 ,339.00 
辽宁,395.80 ,363.20 ,323.60 ,369.50 ,333.50 ,336.30 ,408.70 ,387.30 ,304.40 ,156.50 ,230.90 ,20.60 ,432.00 ,354.30 ,387.50 ,423.63 ,478.60 ,511.40 ,493.33 ,536.23 ,470.59 ,485.71 ,482.76 ,482.88 ,379.31 ,351.64 ,574.95 
吉林,273.20 ,271.13 ,218.04 ,237.60 ,268.93 ,204.72 ,142.30 ,238.41 ,210.90 ,215.24 ,345.22 ,271.50 ,295.61 ,282.11 ,272.73 ,287.60 ,314.04 ,243.90 ,347.32 ,421.40 ,,,400.50 ,350.00 ,375.00 ,61.38 ,32.61 
黑龙江,263.10 ,254.30 ,230.40 ,262.80 ,266.50 ,307.50 ,296.70 ,298.20 ,162.30 ,245.00 ,364.30 ,185.40 ,336.00 ,374.40 ,375.00 ,295.20 ,374.80 ,396.90 ,330.30 ,348.50 ,333.30 ,292.30 ,319.90 ,306.50 ,363.90 ,374.16 ,330.66 
上海,396.40 ,377.60 ,340.30 ,389.53 ,413.50 ,411.80 ,299.50 ,394.90 ,432.60 ,391.81 ,330.20 ,341.34 ,363.20 ,331.80 ,361.30 ,390.03 ,412.00 ,383.80 ,389.70 ,403.11 ,398.38 ,397.57 ,424.43 ,438.06 ,370.97 ,484.64 ,608.20 
江苏,425.20 ,412.81 ,415.00 ,415.10 ,457.64 ,454.73 ,328.20 ,475.60 ,407.50 ,411.00 ,375.60 ,375.64 ,429.50 ,432.50 ,471.40 ,477.60 ,481.50 ,483.45 ,481.64 ,484.40 ,491.78 ,512.97 ,537.24 ,538.84 ,511.25 ,536.92 ,536.30 
